Picked up _JAVA_OPTIONS:   -Dawt.useSystemAAFontSettings=gasp
2019-06-02 10:25:02,033 [myid:] - INFO  [main:Environment@100] - Server environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib
2019-06-02 10:25:02,033 [myid:] - INFO  [main:Environment@100] - Server environment:java.io.tmpdir=/tmp
2019-06-02 10:25:02,033 [myid:] - INFO  [main:Environment@100] - Server environment:java.compiler=<NA>
2019-06-02 10:25:02,033 [myid:] - INFO  [main:Environment@100] - Server environment:os.name=Linux
2019-06-02 10:25:02,033 [myid:] - INFO  [main:Environment@100] - Server environment:os.arch=amd64
2019-06-02 10:25:02,033 [myid:] - INFO  [main:Environment@100] - Server environment:os.version=4.15.0-29deepin-generic
2019-06-02 10:25:02,033 [myid:] - INFO  [main:Environment@100] - Server environment:user.name=root
2019-06-02 10:25:02,033 [myid:] - INFO  [main:Environment@100] - Server environment:user.home=/root
2019-06-02 10:25:02,033 [myid:] - INFO  [main:Environment@100] - Server environment:user.dir=/home/ylc/Desktop/spark_streaming
2019-06-02 10:25:02,043 [myid:] - INFO  [main:ZooKeeperServer@836] - tickTime set to 2000
2019-06-02 10:25:02,043 [myid:] - INFO  [main:ZooKeeperServer@845] - minSessionTimeout set to -1
2019-06-02 10:25:02,043 [myid:] - INFO  [main:ZooKeeperServer@854] - maxSessionTimeout set to -1
2019-06-02 10:25:02,053 [myid:] - INFO  [main:ServerCnxnFactory@117] - Using org.apache.zookeeper.server.NIOServerCnxnFactory as server connection factory
2019-06-02 10:25:02,058 [myid:] - INFO  [main:NIOServerCnxnFactory@89] - binding to port 0.0.0.0/0.0.0.0:2181
2019-06-02 10:26:38,763 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36164
2019-06-02 10:26:38,771 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36164
2019-06-02 10:26:38,772 [myid:] - INFO  [SyncThread:0:FileTxnLog@216] - Creating new log file: log.d4
2019-06-02 10:26:38,780 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680000 with negotiated timeout 6000 for client /127.0.0.1:36164
2019-06-02 10:26:38,844 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0x1 zxid:0xd5 txntype:-1 reqpath:n/a Error Path:/consumers Error:KeeperErrorCode = NodeExists for /consumers
2019-06-02 10:26:38,861 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0x2 zxid:0xd6 txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
2019-06-02 10:26:38,864 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0x3 zxid:0xd7 txntype:-1 reqpath:n/a Error Path:/brokers/topics Error:KeeperErrorCode = NodeExists for /brokers/topics
2019-06-02 10:26:38,866 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0x4 zxid:0xd8 txntype:-1 reqpath:n/a Error Path:/config/changes Error:KeeperErrorCode = NodeExists for /config/changes
2019-06-02 10:26:38,869 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0x5 zxid:0xd9 txntype:-1 reqpath:n/a Error Path:/admin/delete_topics Error:KeeperErrorCode = NodeExists for /admin/delete_topics
2019-06-02 10:26:38,872 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0x6 zxid:0xda txntype:-1 reqpath:n/a Error Path:/brokers/seqid Error:KeeperErrorCode = NodeExists for /brokers/seqid
2019-06-02 10:26:38,875 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0x7 zxid:0xdb txntype:-1 reqpath:n/a Error Path:/isr_change_notification Error:KeeperErrorCode = NodeExists for /isr_change_notification
2019-06-02 10:26:38,878 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0x8 zxid:0xdc txntype:-1 reqpath:n/a Error Path:/latest_producer_id_block Error:KeeperErrorCode = NodeExists for /latest_producer_id_block
2019-06-02 10:26:38,881 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0x9 zxid:0xdd txntype:-1 reqpath:n/a Error Path:/log_dir_event_notification Error:KeeperErrorCode = NodeExists for /log_dir_event_notification
2019-06-02 10:26:38,883 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0xa zxid:0xde txntype:-1 reqpath:n/a Error Path:/config/topics Error:KeeperErrorCode = NodeExists for /config/topics
2019-06-02 10:26:38,886 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0xb zxid:0xdf txntype:-1 reqpath:n/a Error Path:/config/clients Error:KeeperErrorCode = NodeExists for /config/clients
2019-06-02 10:26:38,888 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0xc zxid:0xe0 txntype:-1 reqpath:n/a Error Path:/config/users Error:KeeperErrorCode = NodeExists for /config/users
2019-06-02 10:26:38,891 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:create cxid:0xd zxid:0xe1 txntype:-1 reqpath:n/a Error Path:/config/brokers Error:KeeperErrorCode = NodeExists for /config/brokers
2019-06-02 10:26:40,845 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@596] - Got user-level KeeperException when processing sessionid:0x100005efe680000 type:multi cxid:0x6b zxid:0xe5 txntype:-1 reqpath:n/a aborting remaining multi ops. Error Path:/admin/preferred_replica_election Error:KeeperErrorCode = NoNode for /admin/preferred_replica_election
2019-06-02 10:30:54,242 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36230
2019-06-02 10:30:54,246 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36230
2019-06-02 10:30:54,248 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680001 with negotiated timeout 30000 for client /127.0.0.1:36230
2019-06-02 10:30:54,311 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100005efe680001
2019-06-02 10:30:54,314 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:36230 which had sessionid 0x100005efe680001
2019-06-02 10:31:12,475 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36236
2019-06-02 10:31:12,478 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36236
2019-06-02 10:31:12,480 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680002 with negotiated timeout 30000 for client /127.0.0.1:36236
2019-06-02 10:31:12,564 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100005efe680002
2019-06-02 10:31:12,566 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:36236 which had sessionid 0x100005efe680002
2019-06-02 10:34:01,007 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36396
2019-06-02 10:34:01,012 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36396
2019-06-02 10:34:01,014 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680003 with negotiated timeout 30000 for client /127.0.0.1:36396
2019-06-02 10:34:01,078 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100005efe680003
2019-06-02 10:34:01,080 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:36396 which had sessionid 0x100005efe680003
2019-06-02 10:34:11,296 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36402
2019-06-02 10:34:11,299 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36402
2019-06-02 10:34:11,304 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680004 with negotiated timeout 30000 for client /127.0.0.1:36402
2019-06-02 10:34:11,392 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100005efe680004
2019-06-02 10:34:11,394 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:36402 which had sessionid 0x100005efe680004
2019-06-02 10:35:54,392 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100005efe680000
2019-06-02 10:35:54,394 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:36164 which had sessionid 0x100005efe680000
2019-06-02 10:36:00,634 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36430
2019-06-02 10:36:00,639 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36430
2019-06-02 10:36:00,645 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680005 with negotiated timeout 30000 for client /127.0.0.1:36430
2019-06-02 10:36:00,700 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100005efe680005
2019-06-02 10:36:00,702 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:36430 which had sessionid 0x100005efe680005
2019-06-02 10:36:28,579 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36454
2019-06-02 10:36:28,584 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36454
2019-06-02 10:36:28,591 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680006 with negotiated timeout 6000 for client /127.0.0.1:36454
2019-06-02 10:36:28,642 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0x1 zxid:0x102 txntype:-1 reqpath:n/a Error Path:/consumers Error:KeeperErrorCode = NodeExists for /consumers
2019-06-02 10:36:28,656 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0x2 zxid:0x103 txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
2019-06-02 10:36:28,658 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0x3 zxid:0x104 txntype:-1 reqpath:n/a Error Path:/brokers/topics Error:KeeperErrorCode = NodeExists for /brokers/topics
2019-06-02 10:36:28,661 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0x4 zxid:0x105 txntype:-1 reqpath:n/a Error Path:/config/changes Error:KeeperErrorCode = NodeExists for /config/changes
2019-06-02 10:36:28,663 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0x5 zxid:0x106 txntype:-1 reqpath:n/a Error Path:/admin/delete_topics Error:KeeperErrorCode = NodeExists for /admin/delete_topics
2019-06-02 10:36:28,666 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0x6 zxid:0x107 txntype:-1 reqpath:n/a Error Path:/brokers/seqid Error:KeeperErrorCode = NodeExists for /brokers/seqid
2019-06-02 10:36:28,668 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0x7 zxid:0x108 txntype:-1 reqpath:n/a Error Path:/isr_change_notification Error:KeeperErrorCode = NodeExists for /isr_change_notification
2019-06-02 10:36:28,671 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0x8 zxid:0x109 txntype:-1 reqpath:n/a Error Path:/latest_producer_id_block Error:KeeperErrorCode = NodeExists for /latest_producer_id_block
2019-06-02 10:36:28,673 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0x9 zxid:0x10a txntype:-1 reqpath:n/a Error Path:/log_dir_event_notification Error:KeeperErrorCode = NodeExists for /log_dir_event_notification
2019-06-02 10:36:28,675 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0xa zxid:0x10b txntype:-1 reqpath:n/a Error Path:/config/topics Error:KeeperErrorCode = NodeExists for /config/topics
2019-06-02 10:36:28,678 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0xb zxid:0x10c txntype:-1 reqpath:n/a Error Path:/config/clients Error:KeeperErrorCode = NodeExists for /config/clients
2019-06-02 10:36:28,680 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0xc zxid:0x10d txntype:-1 reqpath:n/a Error Path:/config/users Error:KeeperErrorCode = NodeExists for /config/users
2019-06-02 10:36:28,682 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:create cxid:0xd zxid:0x10e txntype:-1 reqpath:n/a Error Path:/config/brokers Error:KeeperErrorCode = NodeExists for /config/brokers
2019-06-02 10:36:30,198 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@596] - Got user-level KeeperException when processing sessionid:0x100005efe680006 type:multi cxid:0x63 zxid:0x112 txntype:-1 reqpath:n/a aborting remaining multi ops. Error Path:/admin/preferred_replica_election Error:KeeperErrorCode = NoNode for /admin/preferred_replica_election
2019-06-02 10:36:38,877 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36460
2019-06-02 10:36:38,881 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36460
2019-06-02 10:36:38,887 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680007 with negotiated timeout 30000 for client /127.0.0.1:36460
2019-06-02 10:36:38,945 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100005efe680007
2019-06-02 10:36:38,946 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:36460 which had sessionid 0x100005efe680007
2019-06-02 10:41:53,406 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36810
2019-06-02 10:41:53,411 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36810
2019-06-02 10:41:53,413 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680008 with negotiated timeout 30000 for client /127.0.0.1:36810
2019-06-02 10:41:53,705 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@653] - Got user-level KeeperException when processing sessionid:0x100005efe680008 type:setData cxid:0x4 zxid:0x116 txntype:-1 reqpath:n/a Error Path:/config/topics/project Error:KeeperErrorCode = NoNode for /config/topics/project
2019-06-02 10:41:53,765 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100005efe680008
2019-06-02 10:41:53,767 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:36810 which had sessionid 0x100005efe680008
2019-06-02 10:41:59,768 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /127.0.0.1:36820
2019-06-02 10:41:59,771 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /127.0.0.1:36820
2019-06-02 10:41:59,772 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100005efe680009 with negotiated timeout 30000 for client /127.0.0.1:36820
2019-06-02 10:41:59,829 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100005efe680009
2019-06-02 10:41:59,831 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /127.0.0.1:36820 which had sessionid 0x100005efe680009
